,feature,class,precision,recall,fbeta
0,education,Bachelors,0.7358870967741935,0.8111111111111111,0.7716701902748414
1,education,Masters,0.8101851851851852,0.8454106280193237,0.8274231678486997
2,education,Doctorate,0.8392857142857143,0.8245614035087719,0.831858407079646
3,education,Prof-school,0.8470588235294118,0.8571428571428571,0.8520710059171598
4,education,Some-college,0.865979381443299,0.30324909747292417,0.44919786096256686
5,education,Assoc-acdm,0.9090909090909091,0.425531914893617,0.5797101449275363
6,education,Assoc-voc,0.9545454545454546,0.3333333333333333,0.49411764705882355
7,education,HS-grad,0.9848484848484849,0.18840579710144928,0.31630170316301703
8,education,7th-8th,1.0,0.0,0.0
9,education,11th,1.0,0.2727272727272727,0.42857142857142855
10,education,9th,1.0,0.3333333333333333,0.5
11,education,5th-6th,1.0,0.5,0.6666666666666666
12,education,10th,1.0,0.08333333333333333,0.15384615384615385
13,education,12th,1.0,0.4,0.5714285714285714
14,education,1st-4th,1.0,1.0,1.0
15,education,Preschool,1.0,1.0,1.0
